Brand,Competitor,MRO id,Part Number,MRO Price,New Price,Date Scraped,Old Price,Previous Date,Percentage Change
Baldor,sqone,24032,JMM2394T-5,1593.08,1544.95,2013-11-18,2565.20,2013-11-03,-39.77 %
Baldor,sqone,24033,GDL1607T,1166.80,1131.55,2013-11-18,1189.04,2013-11-03,-04.83 %
Baldor,sqone,24041,FDL3712TM,1158.06,1123.07,2013-11-18,1180.14,2013-11-03,-04.84 %
Baldor,sqone,24042,JML1510T,837.98,1120.95,2013-11-18,1861.20,2013-11-03,-39.77 %
Baldor,sqone,24043,JPL1510T,837.98,1120.95,2013-11-18,1861.20,2013-11-03,-39.77 %
Baldor,sqone,24046,M2333T-9,1153.14,1118.30,2013-11-18,1856.80,2013-11-03,-39.77 %
Baldor,sqone,24049,VM7047T,1243.31,1205.75,2013-11-18,2002.00,2013-11-03,-39.77 %
Baldor,sqone,24050,VM7047T-5,1243.31,1205.75,2013-11-18,2002.00,2013-11-03,-39.77 %
Baldor,sqone,24061,JMWDM3714T,1030.29,1196.21,2013-11-18,1986.16,2013-11-03,-39.77 %
Baldor,sqone,24069,L3708,1156.97,1122.01,2013-11-18,1179.25,2013-11-03,-04.85 %
Baldor,sqone,24072,EWDM3710T,1162.43,1127.31,2013-11-18,1871.76,2013-11-03,-39.77 %
Baldor,sqone,24076,JMM7073T,710.95,1180.31,2013-11-18,1959.76,2013-11-03,-39.77 %
Baldor,sqone,24077,L3712T,1125.81,1091.80,2013-11-18,1147.21,2013-11-03,-04.83 %
Baldor,sqone,24078,FDL3732M,1144.94,1110.35,2013-11-18,1166.79,2013-11-03,-04.84 %
Baldor,sqone,24079,VRBM3554T,1122.53,1088.62,2013-11-18,1395.68,2013-10-20,-22.00 %
Baldor,sqone,24080,JMM3713T,734.81,1174.48,2013-11-18,1950.08,2013-11-03,-39.77 %
Baldor,sqone,24081,JMM3713T-5,1211.07,1174.48,2013-11-18,1950.08,2013-11-03,-39.77 %
Baldor,sqone,24082,JPM3713T,734.81,1174.48,2013-11-18,1950.08,2013-11-03,-39.77 %
Baldor,sqone,24091,L3705,1131.28,1097.10,2013-11-18,1153.44,2013-11-03,-04.88 %
Baldor,sqone,24093,L3711T,1108.87,1075.37,2013-11-18,1130.30,2013-11-03,-04.86 %
