Brand,Competitor,MRO id,Part Number,Our Price,Their Price
Baldor,sqone,22366,VP7424-14,261.12,257.05
Baldor,sqone,22367,VP7424D,261.12,257.05
Baldor,sqone,22615,D50200P,31412.70,30452.21
Baldor,sqone,22680,OF4409T,13425.60,13019.98
Baldor,sqone,22681,ECP844156T-4,13520.15,13111.67
Baldor,sqone,22683,ECP4407TR-4,13816.91,13399.46
Baldor,sqone,22684,ECP4407T-4,13146.88,12749.68
Baldor,sqone,22685,ECP4407T-5,13146.88,12749.68
Baldor,sqone,22686,ECP44156T-4,13164.37,12766.64
Baldor,sqone,22687,ECP44156TR-4,13834.94,13416.95
Baldor,sqone,22693,ECP84411T-4,12163.71,11796.21
Baldor,sqone,22703,ECP84406T-4,11761.48,11406.13
Baldor,sqone,22704,ECP84406T-5,11761.48,11406.13
Baldor,sqone,22707,AEM4404-4,13414.92,13387.27
Baldor,sqone,22708,ECP4411T-4,11676.22,11323.45
Baldor,sqone,24384,D1153,931.80,903.65
Baldor,sqone,24379,VWDM3710T,949.29,920.61
Baldor,sqone,24375,EL3612T,906.12,878.74
Baldor,sqone,24372,GDL1605T,886.99,860.19
Baldor,sqone,24368,VEM3770T-5,918.14,890.40
Baldor,sqone,24367,VEM3770T,918.14,890.40
Baldor,sqone,24364,M3701,913.22,885.63
Baldor,sqone,24363,EM3774T-8,945.47,916.90
Baldor,sqone,24362,EM3774T-5,921.97,894.11
Baldor,sqone,24361,EM3774T,921.97,894.11
Baldor,sqone,24353,CDP3445-V24,960.22,931.21
Baldor,sqone,24350,VFDL3610TM,903.93,876.62
Baldor,sqone,24347,L3709T,904.48,877.15
Baldor,sqone,24342,EBM3554T,959.67,930.68
Baldor,sqone,24341,CDP3445-V12,964.59,935.45
Baldor,sqone,24339,IDWNM3554T,933.44,905.24
Baldor,sqone,24332,L3710T,917.59,889.87
Baldor,sqone,24329,L3606,936.17,907.89
Baldor,sqone,24319,VEBM3554T,980.99,951.35
Baldor,sqone,24318,EBM3558T,980.99,949.52
Baldor,sqone,24316,IDVSWDM3542,955.30,926.44
Baldor,sqone,24313,IDCSWDM3542,959.67,930.68
Baldor,sqone,24312,UCL7510,952.02,923.26
Baldor,sqone,24305,UCCE7510,959.13,930.15
Baldor,sqone,24301,JMM3314T-5,1018.70,987.92
Baldor,sqone,24296,BM3603,991.37,961.42
Baldor,sqone,24293,CSSEWDM3555T,1021.98,1007.60
Baldor,sqone,24286,CSSEWDM3558,1029.63,1015.52
Baldor,sqone,24285,L1505,973.34,943.93
Baldor,sqone,24276,CSSEWDM3558T,1036.73,1022.56
Baldor,sqone,24275,VM8008T,1039.47,1008.06
Baldor,sqone,24272,IDVSWDM3546T,991.37,961.42
Baldor,sqone,24271,IDVSWDM3546,991.37,961.42
Baldor,sqone,24267,IDCSWDM3546T,996.29,966.19
Baldor,sqone,24266,IDCSWDM3546,996.29,966.19
Baldor,sqone,24264,EM3771T-8,1024.71,816.73
Baldor,sqone,24263,EM3771T,1000.12,816.73
Baldor,sqone,24260,FDL3731M,992.47,962.48
Baldor,sqone,24252,CDPX3410,1042.20,1010.71
Baldor,sqone,24251,CDPX3406,1042.20,1010.71
Baldor,sqone,24246,BM3556T,1018.70,987.92
Baldor,sqone,24231,VRBM3546,1031.81,1000.64
Baldor,sqone,24230,VWDM3714T,1082.64,1049.93
Baldor,sqone,24224,VM3713T-5,1083.73,1050.99
Baldor,sqone,24223,VM3713T,1083.73,1050.99
Baldor,sqone,24218,BM3606,1060.23,1028.20
Baldor,sqone,22901,D5510P,6198.65,699.60
Baldor,sqone,22916,IDXM7562T,5192.99,564.45
Baldor,sqone,23139,M4104,3476.98,2333.59
Baldor,sqone,23182,M1728T,2925.24,2796.28
Baldor,sqone,23187,M1229T,2919.62,2338.89
Baldor,sqone,23194,M2395T,2873.13,1379.06
Baldor,sqone,23271,CECP84103T-4,2628.42,2622.40
Baldor,sqone,23397,M1727T,2307.92,2238.19
Baldor,sqone,23401,OF3415T,2295.35,2226.00
Baldor,sqone,23413,M1763T,2266.38,2197.91
Baldor,sqone,23417,VECP2332T,2320.49,2250.38
Baldor,sqone,23418,VHM2515T,2254.36,2186.25
Baldor,sqone,23420,CBM7014T,2319.40,2249.32
Baldor,sqone,23421,ECP84103T-4,2310.65,2240.84
Baldor,sqone,23422,ECP84103T-5,2310.65,2240.84
Baldor,sqone,23423,ASM7515,2289.34,2220.17
Baldor,sqone,23426,IDWNM22938T,2299.72,2230.24
Baldor,sqone,23429,L5020,2264.20,2195.79
Baldor,sqone,23434,VHM2516T,2216.10,2149.15
Baldor,sqone,23438,BM3714T,2262.01,2193.67
Baldor,sqone,23439,IDXM7570T,2253.81,2185.72
Baldor,sqone,23446,OF3315T,2172.38,2106.75
Baldor,sqone,23447,M1227T,2169.10,2103.57
Baldor,sqone,23456,IDXM7054T,2200.26,2133.78
Baldor,sqone,23458,IDCSWDM3710T,2199.16,1602.72
Baldor,sqone,23464,VHECP3774T,2172.38,2106.75
Baldor,sqone,23465,M1213T,2108.99,2050.57
Baldor,sqone,23471,VHM2514T,2083.30,2020.36
Baldor,sqone,23472,ASM6215,2122.10,2057.99
Baldor,sqone,23473,ASM7510,2122.10,2057.99
Baldor,sqone,23484,EM7054T-C,2100.24,2036.79
Baldor,sqone,23486,M2542T-8,2087.13,2024.07
Baldor,sqone,23487,VEBM3710T,2156.53,2091.38
Baldor,sqone,23493,VHECP3771T,2086.58,2023.54
Baldor,sqone,23494,GDL1615T,2008.43,1947.75
Baldor,sqone,23501,EM7054T,2049.97,1988.03
Baldor,sqone,23502,ECP84106T-4,2045.05,1983.26
Baldor,sqone,23507,M2539T-8,2035.76,1974.25
Baldor,sqone,23508,VHM2513T,1984.93,1924.96
Baldor,sqone,23519,DEL3737TM,1972.91,1913.30
Baldor,sqone,23521,M2538T-8,2013.90,1953.05
Baldor,sqone,23524,IDXM7547T,2013.90,1953.05
Baldor,sqone,23527,CBM7010,2012.26,1951.46
Baldor,sqone,23528,EM4103T-8,2058.71,1996.51
Baldor,sqone,23533,VHECP3769T,2000.78,1940.33
Baldor,sqone,23535,CDX7100,2068.55,2006.05
Baldor,sqone,23537,EFM4103T,1995.86,1935.56
Baldor,sqone,23543,EM4107T-5,1972.36,1912.77
Baldor,sqone,23544,EM4107T-8,2020.45,1959.41
Baldor,sqone,23545,M2333,2108.99,2045.27
Baldor,sqone,23550,IDWNM22937T,1963.62,1904.29
Baldor,sqone,23552,OF2332T,1902.95,1845.46
Baldor,sqone,23556,CECP2334T,1936.84,1878.32
Baldor,sqone,23558,VHECP3770T,1936.29,1877.79
Baldor,sqone,23559,CDX1875,2003.51,1942.98
Baldor,sqone,23567,IDXM7170T,1921.53,1863.48
Baldor,sqone,23571,AEM2276-4,2323.77,2253.56
Baldor,sqone,23573,VECP2334T,1899.67,1842.28
Baldor,sqone,23582,EM2535T-8,1939.02,1880.44
Baldor,sqone,23585,M4104T-8,1881.64,1824.79
Baldor,sqone,23586,CL5018,1833.55,1778.15
Baldor,sqone,23588,ZDWNM3609T,1878.91,1797.84
Baldor,sqone,23594,BM3734T,1872.35,1815.78
Baldor,sqone,23602,D2305,1924.27,1866.13
Baldor,sqone,23603,CBM3710T,1860.33,1804.12
Baldor,sqone,23606,VECP2276T,1853.77,1797.76
Baldor,sqone,23608,VBM3710T,1850.49,1794.58
Baldor,sqone,23611,ASM6210,1820.43,1765.43
Baldor,sqone,23621,CSSEWDM3714T,2038.49,2032.80
Baldor,sqone,23631,L5018,1779.99,1726.21
Baldor,sqone,23634,VECP2333T,1792.01,1737.87
Baldor,sqone,23636,ZDWNM3554T,1783.81,1729.92
Baldor,sqone,23647,CDPX3436,1827.53,1772.32
Baldor,sqone,23648,CDPX3440,1827.53,1772.32
Baldor,sqone,23652,OF2276T,1708.94,1657.31
Baldor,sqone,23660,L3706,1723.15,1671.09
Baldor,sqone,23665,VP3603D,1800.21,1745.82
Baldor,sqone,23669,EM2531T-8,1772.88,1719.32
Baldor,sqone,23674,ASM6207,1703.48,1652.01
Baldor,sqone,23679,ZDWNM3546T,1698.01,1646.71
Baldor,sqone,23687,BM3730T,1687.08,1636.11
Baldor,sqone,23690,OF3410T,1637.90,1588.41
Baldor,sqone,23699,DEL3733TM,1615.49,1566.68
Baldor,sqone,23703,EJMM2515T,1643.91,1594.24
Baldor,sqone,23735,M2535T-8,1596.91,1548.66
Baldor,sqone,23739,M4103T-8,1593.08,1544.95
Baldor,sqone,23745,OF3310T,1548.81,1502.02
Baldor,sqone,23747,AEM2238-4,1944.49,1885.74
Baldor,sqone,23753,EM2516T,1576.14,1567.21
Baldor,sqone,23754,EM2516T-8,1616.03,1567.21
Baldor,sqone,23775,VJMM2334T-5,1619.86,1570.92
Baldor,sqone,23776,CSSEWDM3710T,1731.35,1723.04
Baldor,sqone,23781,EM2334T-8,1574.50,1526.93
Baldor,sqone,23786,EFM2334T,1526.95,1480.82
Baldor,sqone,23791,EM4106T-5,1511.65,1465.98
Baldor,sqone,23792,EM4106T-8,1548.81,1502.02
Baldor,sqone,23795,CSSEWDM3709T,1696.37,1687.84
Baldor,sqone,23805,VJMM2333T-5,1566.85,1519.51
Baldor,sqone,23813,JMM2333T-5,1553.19,1506.26
Baldor,sqone,23820,CDX1850,1512.74,1467.04
Baldor,sqone,23833,OF3407T,1401.80,1359.45
Baldor,sqone,23835,CEWDM3714T,1437.33,1393.90
Baldor,sqone,23836,VM7170T,1508.37,1462.80
Baldor,sqone,23838,M2534T-8,1431.31,1383.30
Baldor,sqone,23843,CDPX3426,1478.31,1433.65
Baldor,sqone,23844,CDPX3430,1478.31,1433.65
Baldor,sqone,23848,EFM2515T,1419.29,1222.18
Baldor,sqone,23849,EFM2515T-8,1454.27,1410.33
Baldor,sqone,23850,EM2515T,1419.29,1410.33
Baldor,sqone,23852,EM2515T-8,1454.27,1410.33
