Brand,Competitor,MRO id,Part Number,MRO Price,New Price,Date Scraped,Old Price,Previous Date,Percentage Change
Dodge,plccenter,115682,433,5962.62,8085.00,2014-01-05,7976.00,2013-12-29,+01.37 %
Dodge,plccenter,115684,444,14326.67,19425.00,2014-01-05,19163.00,2013-12-29,+01.37 %
Dodge,plccenter,115720,437,7047.36,9556.00,2014-01-05,9427.00,2013-12-29,+01.37 %
Dodge,plccenter,115839,9005,158.12,218.50,2014-01-05,209.50,2013-12-29,+04.30 %
Dodge,plccenter,115840,9006,158.12,218.50,2014-01-05,209.50,2013-12-29,+04.30 %
Dodge,plccenter,115841,9003,143.38,198.00,2014-01-05,190.00,2013-12-29,+04.21 %
Dodge,plccenter,115842,9008,190.28,263.00,2014-01-05,252.50,2013-12-29,+04.16 %
Dodge,plccenter,115843,9004,158.12,218.50,2014-01-05,209.50,2013-12-29,+04.30 %
Dodge,plccenter,115844,9007,190.28,263.00,2014-01-05,252.50,2013-12-29,+04.16 %
Dodge,plccenter,115845,9010,222.44,307.50,2014-01-05,295.00,2013-12-29,+04.24 %
Dodge,plccenter,115846,9001,143.38,198.00,2014-01-05,190.00,2013-12-29,+04.21 %
Dodge,plccenter,115847,9016,310.88,429.50,2014-01-05,412.00,2013-12-29,+04.25 %
Dodge,plccenter,115848,9012,261.30,361.00,2014-01-05,346.50,2013-12-29,+04.18 %
Dodge,plccenter,115849,9013,261.30,361.00,2014-01-05,346.50,2013-12-29,+04.18 %
Dodge,plccenter,115850,9015,310.88,429.50,2014-01-05,412.00,2013-12-29,+04.25 %
Dodge,plccenter,115851,9019,452.26,624.50,2014-01-05,599.50,2013-12-29,+04.17 %
Dodge,plccenter,115852,9020,452.26,624.50,2014-01-05,599.50,2013-12-29,+04.17 %
Dodge,plccenter,115853,9021,782.56,1081.00,2014-01-05,1037.00,2013-12-29,+04.24 %
Dodge,plccenter,115854,9023,643.20,888.00,2014-01-05,852.00,2013-12-29,+04.23 %
Dodge,plccenter,115855,9043,2371.13,3274.00,2014-01-05,3141.00,2013-12-29,+04.23 %
Dodge,plccenter,115856,9050,2831.42,3910.00,2014-01-05,3751.00,2013-12-29,+04.24 %
Dodge,plccenter,115857,9029,2544.66,3514.00,2014-01-05,3371.00,2013-12-29,+04.24 %
Dodge,plccenter,115858,9042,2755.04,3804.00,2014-01-05,3650.00,2013-12-29,+04.22 %
Dodge,plccenter,115859,9028,2074.32,2864.00,2014-01-05,2748.00,2013-12-29,+04.22 %
Dodge,plccenter,115860,9027,1011.03,1396.00,2014-01-05,1340.00,2013-12-29,+04.18 %
Dodge,plccenter,115861,9031,2148.02,2966.00,2014-01-05,2846.00,2013-12-29,+04.22 %
Dodge,plccenter,115862,9026,1865.28,2576.00,2014-01-05,2471.00,2013-12-29,+04.25 %
Dodge,plccenter,115863,11154,401.99,595.00,2014-01-05,576.00,2013-12-29,+03.30 %
Dodge,plccenter,115864,10294,793.76,1175.00,2014-01-05,1138.00,2013-12-29,+03.25 %
Dodge,plccenter,115865,11157,624.56,924.00,2014-01-05,895.00,2013-12-29,+03.24 %
Dodge,plccenter,115866,11137,624.56,924.00,2014-01-05,895.00,2013-12-29,+03.24 %
Dodge,plccenter,115867,10295,1203.69,1781.00,2014-01-05,1725.00,2013-12-29,+03.25 %
Dodge,plccenter,115895,11268,328.18,486.00,2014-01-05,470.50,2013-12-29,+03.29 %
Dodge,plccenter,115896,11231,172.60,255.50,2014-01-05,247.50,2013-12-29,+03.23 %
Dodge,plccenter,115897,11269,409.93,606.50,2014-01-05,587.50,2013-12-29,+03.23 %
Dodge,plccenter,115898,11301,144.21,213.50,2014-01-05,207.00,2013-12-29,+03.14 %
Dodge,plccenter,115899,11302,193.04,286.00,2014-01-05,277.00,2013-12-29,+03.25 %
Dodge,plccenter,115901,11303,238.47,353.00,2014-01-05,342.00,2013-12-29,+03.22 %
Dodge,plccenter,115902,11108,98.79,146.50,2014-01-05,142.00,2013-12-29,+03.17 %
Dodge,plccenter,115903,11288,98.79,146.50,2014-01-05,142.00,2013-12-29,+03.17 %
Dodge,plccenter,115904,11299,123.78,183.50,2014-01-05,177.50,2013-12-29,+03.38 %
Dodge,plccenter,115905,11160,934.00,1382.00,2014-01-05,1338.00,2013-12-29,+03.29 %
Dodge,plccenter,115906,11140,934.00,1382.00,2014-01-05,1338.00,2013-12-29,+03.29 %
Dodge,plccenter,115907,10293,2447.12,3621.00,2014-01-05,3506.00,2013-12-29,+03.28 %
Dodge,plccenter,115908,10296,1802.70,2667.00,2014-01-05,2583.00,2013-12-29,+03.25 %
Dodge,plccenter,115909,11472,3605.39,5334.00,2014-01-05,5165.00,2013-12-29,+03.27 %
Dodge,plccenter,115910,11164,1619.30,2396.00,2014-01-05,2320.00,2013-12-29,+03.28 %
Dodge,plccenter,115911,11144,1619.30,2396.00,2014-01-05,2320.00,2013-12-29,+03.28 %
Dodge,plccenter,115912,11456,2482.32,3673.00,2014-01-05,3556.00,2013-12-29,+03.29 %
Dodge,plccenter,115913,11455,2482.32,3673.00,2014-01-05,3556.00,2013-12-29,+03.29 %
Dodge,plccenter,116129,6755,151.90,231.00,2014-01-05,231.50,2013-12-29,-00.22 %
Dodge,plccenter,116152,11272,1346.20,1992.00,2014-01-05,1929.00,2013-12-29,+03.27 %
Dodge,plccenter,116153,11242,775.59,1148.00,2014-01-05,1112.00,2013-12-29,+03.24 %
Dodge,plccenter,116154,11271,999.86,1480.00,2014-01-05,1433.00,2013-12-29,+03.28 %
Dodge,plccenter,116155,11239,532.01,787.50,2014-01-05,762.50,2013-12-29,+03.28 %
Dodge,plccenter,116156,11120,547.33,810.00,2014-01-05,784.50,2013-12-29,+03.25 %
Dodge,plccenter,116157,11306,665.43,984.50,2014-01-05,953.50,2013-12-29,+03.25 %
Dodge,plccenter,116158,11312,1529.59,2263.00,2014-01-05,2192.00,2013-12-29,+03.24 %
Dodge,plccenter,116159,11315,4787.50,7083.00,2014-01-05,6859.00,2013-12-29,+03.27 %
Dodge,plccenter,116160,11457,1276.93,1890.00,2014-01-05,1830.00,2013-12-29,+03.28 %
Dodge,plccenter,116161,11313,2577.14,3813.00,2014-01-05,3692.00,2013-12-29,+03.28 %
Dodge,plccenter,116162,3016,1255.58,1734.00,2014-01-05,1664.00,2013-12-29,+04.21 %
Dodge,plccenter,116163,3015,1325.26,1830.00,2014-01-05,1756.00,2013-12-29,+04.21 %
Dodge,plccenter,116164,11314,1261.03,1866.00,2014-01-05,1807.00,2013-12-29,+03.27 %
Dodge,plccenter,116165,11628,560.40,829.50,2014-01-05,803.00,2013-12-29,+03.30 %
Dodge,plccenter,116166,10679,3076.79,4552.00,2014-01-05,4408.00,2013-12-29,+03.27 %
Dodge,plccenter,116167,10677,3076.79,4552.00,2014-01-05,4408.00,2013-12-29,+03.27 %
Dodge,plccenter,116168,10681,3076.79,4552.00,2014-01-05,4408.00,2013-12-29,+03.27 %
Dodge,plccenter,116169,10678,3076.79,4552.00,2014-01-05,4408.00,2013-12-29,+03.27 %
Dodge,plccenter,116170,10680,3076.79,4552.00,2014-01-05,4408.00,2013-12-29,+03.27 %
Dodge,plccenter,116171,10683,3076.79,4552.00,2014-01-05,4408.00,2013-12-29,+03.27 %
Dodge,plccenter,116172,10687,3076.79,4552.00,2014-01-05,4408.00,2013-12-29,+03.27 %
Dodge,plccenter,116173,10684,3076.79,4552.00,2014-01-05,4408.00,2013-12-29,+03.27 %
Dodge,plccenter,116174,10686,3076.79,4552.00,2014-01-05,4408.00,2013-12-29,+03.27 %
Dodge,plccenter,116175,10688,3076.79,4552.00,2014-01-05,4408.00,2013-12-29,+03.27 %
Dodge,plccenter,116176,10690,3076.79,4552.00,2014-01-05,4408.00,2013-12-29,+03.27 %
Dodge,plccenter,116177,10695,3076.79,4552.00,2014-01-05,4408.00,2013-12-29,+03.27 %
Dodge,plccenter,116178,10693,3076.79,4552.00,2014-01-05,4408.00,2013-12-29,+03.27 %
Dodge,plccenter,116179,10692,3076.79,4552.00,2014-01-05,4408.00,2013-12-29,+03.27 %
Dodge,plccenter,116180,10694,3076.79,4552.00,2014-01-05,4408.00,2013-12-29,+03.27 %
Dodge,plccenter,116181,10696,3076.79,4552.00,2014-01-05,4408.00,2013-12-29,+03.27 %
Dodge,plccenter,116182,10698,3076.79,4552.00,2014-01-05,4408.00,2013-12-29,+03.27 %
Dodge,plccenter,116183,11322,2896.23,4285.00,2014-01-05,4149.00,2013-12-29,+03.28 %
Dodge,plccenter,116184,11256,444.57,658.00,2014-01-05,637.00,2013-12-29,+03.30 %
Dodge,plccenter,116185,11259,1199.71,1775.00,2014-01-05,1719.00,2013-12-29,+03.26 %
Dodge,plccenter,116186,11262,1338.26,1980.00,2014-01-05,1918.00,2013-12-29,+03.23 %
Dodge,plccenter,116188,10532,1807.23,2674.00,2014-01-05,2589.00,2013-12-29,+03.28 %
Dodge,plccenter,116189,10509,2778.13,4111.00,2014-01-05,3980.00,2013-12-29,+03.29 %
Dodge,plccenter,116190,8991,3423.13,5065.00,2014-01-05,4904.00,2013-12-29,+03.28 %
Dodge,plccenter,116191,10508,1807.23,2674.00,2014-01-05,2589.00,2013-12-29,+03.28 %
Dodge,plccenter,116192,8986,2044.00,3024.00,2014-01-05,2928.00,2013-12-29,+03.28 %
Dodge,plccenter,116193,8987,2044.00,3024.00,2014-01-05,2928.00,2013-12-29,+03.28 %
Dodge,plccenter,116194,8988,2044.00,3024.00,2014-01-05,2928.00,2013-12-29,+03.28 %
Dodge,plccenter,116195,11638,4840.88,7162.00,2014-01-05,6935.00,2013-12-29,+03.27 %
Dodge,plccenter,116196,10533,2778.13,4111.00,2014-01-05,3980.00,2013-12-29,+03.29 %
Dodge,plccenter,116197,10525,3186.93,4715.00,2014-01-05,4566.00,2013-12-29,+03.26 %
Dodge,plccenter,116198,8992,5366.63,7940.00,2014-01-05,7688.00,2013-12-29,+03.28 %
Dodge,plccenter,116200,10528,4595.02,6799.00,2014-01-05,6583.00,2013-12-29,+03.28 %
Dodge,plccenter,116201,10526,5130.44,7591.00,2014-01-05,7350.00,2013-12-29,+03.28 %
Dodge,plccenter,116540,798,161.24,239.00,2014-01-05,231.00,2013-12-29,+03.46 %
Dodge,plccenter,116541,797,227.11,336.00,2014-01-05,325.50,2013-12-29,+03.23 %
Dodge,plccenter,116542,799,161.24,239.00,2014-01-05,231.00,2013-12-29,+03.46 %
Dodge,plccenter,116545,804,161.24,239.00,2014-01-05,231.00,2013-12-29,+03.46 %
Dodge,plccenter,116546,802,161.24,239.00,2014-01-05,231.00,2013-12-29,+03.46 %
Dodge,plccenter,116547,801,161.24,239.00,2014-01-05,231.00,2013-12-29,+03.46 %
Dodge,plccenter,116548,3802,227.11,336.00,2014-01-05,325.50,2013-12-29,+03.23 %
Dodge,plccenter,116552,786,227.11,336.00,2014-01-05,325.50,2013-12-29,+03.23 %
Dodge,plccenter,116553,788,161.24,239.00,2014-01-05,231.00,2013-12-29,+03.46 %
Dodge,plccenter,116554,789,227.11,336.00,2014-01-05,325.50,2013-12-29,+03.23 %
Dodge,plccenter,116556,790,161.24,239.00,2014-01-05,231.00,2013-12-29,+03.46 %
Dodge,plccenter,116560,794,227.11,336.00,2014-01-05,325.50,2013-12-29,+03.23 %
Dodge,plccenter,116563,500,140.81,208.50,2014-01-05,202.00,2013-12-29,+03.22 %
