Brand,Competitor,MRO id,Part Number,Our Price,Their Price
Dodge,wbds,116028,6538,384.00,287.67
Dodge,wbds,116025,6530,384.00,287.67
Dodge,wbds,116024,6531,384.00,287.67
Dodge,wbds,116023,6526,384.00,287.67
Dodge,wbds,116022,6522,384.00,287.67
Dodge,wbds,116010,6515,292.00,218.74
Dodge,wbds,116009,6521,292.00,218.74
Dodge,wbds,116006,6512,292.00,218.74
Dodge,wbds,116004,6511,292.00,218.74
Dodge,wbds,116147,6550,292.00,218.74
Dodge,wbds,116111,6503,218.00,163.33
Dodge,wbds,116110,6508,218.00,163.33
Dodge,wbds,116107,6483,218.00,163.33
Dodge,wbds,116105,6501,218.00,163.33
Dodge,wbds,116104,6500,218.00,163.33
Dodge,wbds,116103,6386,218.00,163.33
Dodge,wbds,116102,6495,218.00,163.33
Dodge,wbds,116092,6385,174.00,130.36
Dodge,wbds,116293,6651,29.63,13.14
Dodge,wbds,117278,6528,384.00,287.67
Dodge,wbds,117581,6360,124.00,92.90
Dodge,wbds,117582,6361,124.00,92.90
Dodge,wbds,117598,6513,292.00,218.74
Dodge,wbds,117599,6532,384.00,287.67
Dodge,wbds,117602,6527,384.00,287.67
Dodge,wbds,117604,6537,384.00,287.67
Dodge,wbds,117628,6387,218.00,163.33
Dodge,wbds,117629,6510,218.00,163.33
Dodge,wbds,117630,6509,218.00,163.33
Dodge,wbds,118828,120253,248.00,153.26
Dodge,wbds,118950,226031,175.85,97.65
Dodge,wbds,119607,28859,1134.00,1016.42
Dodge,wbds,119610,28864,1134.00,1016.42
Dodge,wbds,119611,28861,1072.00,960.85
Dodge,wbds,119612,28867,1964.00,1760.36
Dodge,wbds,119616,28872,2144.00,1921.70
Dodge,wbds,119621,28854,900.00,806.68
Dodge,wbds,119628,28767,1394.00,1249.47
Dodge,wbds,119632,28772,1394.00,1249.47
Dodge,wbds,119636,28777,2386.00,2138.61
Dodge,wbds,119638,28776,2262.00,2027.46
Dodge,wbds,119647,28857,1134.00,1016.42
Dodge,wbds,119667,28228,702.00,629.22
Dodge,wbds,119670,28328,1350.00,1210.03
Dodge,wbds,119690,27652,878.00,793.59
Dodge,wbds,119724,29493,1320.00,973.90
Dodge,wbds,119725,29458,1058.00,780.61
Dodge,wbds,119726,29494,1320.00,973.90
Dodge,wbds,119727,29459,1058.00,780.61
Dodge,wbds,119729,29424,1188.00,876.52
Dodge,wbds,119731,29478,1450.00,1069.82
Dodge,wbds,119734,29479,1450.00,1069.82
Dodge,wbds,119736,29480,1450.00,1069.82
Dodge,wbds,119737,29427,1302.00,960.62
Dodge,wbds,119738,29481,1564.00,1153.92
Dodge,wbds,119739,29428,1302.00,960.62
Dodge,wbds,119741,29429,1302.00,960.62
Dodge,wbds,119743,29483,1564.00,1153.92
Dodge,wbds,119745,29484,1704.00,1257.21
Dodge,wbds,119746,29431,1442.00,1063.92
Dodge,wbds,119747,29485,1704.00,1257.21
Dodge,wbds,119748,29432,1442.00,1063.92
Dodge,wbds,119750,29433,1700.00,1254.27
Dodge,wbds,119752,29487,1962.00,1447.58
Dodge,wbds,119754,29488,1962.00,1447.58
Dodge,wbds,119755,29435,1700.00,1254.27
Dodge,wbds,119756,29489,1962.00,1447.58
Dodge,wbds,119757,29418,900.00,664.03
Dodge,wbds,119759,29419,900.00,664.03
Dodge,wbds,119761,29460,1168.00,861.76
Dodge,wbds,119762,29496,1430.00,1055.07
Dodge,wbds,119765,29462,1168.00,861.76
Dodge,wbds,119769,29499,1544.00,1139.16
Dodge,wbds,119770,29464,1282.00,945.86
Dodge,wbds,119771,29500,1544.00,1139.16
Dodge,wbds,119772,29465,1282.00,945.86
Dodge,wbds,119774,29466,1422.00,1049.16
Dodge,wbds,119776,29502,1684.00,1242.46
Dodge,wbds,119778,29503,1684.00,1242.46
Dodge,wbds,119779,29468,1422.00,1049.16
Dodge,wbds,119780,29504,1684.00,1242.46
Dodge,wbds,119781,29469,1562.00,1152.46
Dodge,wbds,119785,29506,1942.00,1432.82
Dodge,wbds,119786,29507,1942.00,1432.82
Dodge,wbds,119787,29454,880.00,649.28
Dodge,wbds,119791,29491,1142.00,842.56
Dodge,wbds,119793,29492,1142.00,842.56
Dodge,wbds,119794,29457,1058.00,780.61
Dodge,wbds,119824,29473,1162.00,857.33
Dodge,wbds,119825,29420,900.00,664.03
Dodge,wbds,119827,29421,1078.00,795.36
Dodge,wbds,119829,29475,1340.00,988.66
Dodge,wbds,119831,29476,1340.00,988.66
Dodge,wbds,119833,29477,1340.00,988.66
Dodge,wbds,119897,30743,1188.00,876.52
Dodge,wbds,119900,30850,1564.00,1153.92
Dodge,wbds,119901,30745,1302.00,960.62
Dodge,wbds,119903,30746,1302.00,960.62
Dodge,wbds,119905,30852,1564.00,1153.92
Dodge,wbds,119907,30853,1704.00,1257.21
Dodge,wbds,119908,30748,1442.00,1063.92
Dodge,wbds,119909,30854,1704.00,1257.21
Dodge,wbds,119910,30749,1442.00,1063.92
Dodge,wbds,119911,30395,1442.00,1063.92
Dodge,wbds,119912,30750,1700.00,1254.27
Dodge,wbds,119913,30396,1700.00,1254.27
Dodge,wbds,119914,30856,1962.00,1447.58
Dodge,wbds,119915,30397,1700.00,1254.27
Dodge,wbds,119916,30857,1962.00,1447.58
Dodge,wbds,119917,30752,1700.00,1254.27
Dodge,wbds,119918,30858,1962.00,1447.58
Dodge,wbds,119919,30735,900.00,664.03
Dodge,wbds,119923,30842,1162.00,857.33
Dodge,wbds,119925,30843,1162.00,857.33
Dodge,wbds,119926,30738,1078.00,795.36
Dodge,wbds,119927,30844,1340.00,988.66
Dodge,wbds,119928,30739,1078.00,795.36
Dodge,wbds,119930,30740,1078.00,795.36
Dodge,wbds,119957,30764,1282.00,945.86
Dodge,wbds,119959,30870,1544.00,1139.16
Dodge,wbds,119961,30871,1684.00,1242.46
Dodge,wbds,119962,30766,1422.00,1049.16
Dodge,wbds,119963,30767,1422.00,1049.16
Dodge,wbds,119965,30873,1684.00,1242.46
Dodge,wbds,119967,30874,1942.00,1432.82
Dodge,wbds,119968,30769,1562.00,1152.46
Dodge,wbds,119969,30875,1942.00,1432.82
Dodge,wbds,119970,30770,1562.00,1152.46
Dodge,wbds,119974,30859,1142.00,842.56
Dodge,wbds,119977,30755,880.00,649.28
Dodge,wbds,119985,30864,1320.00,973.90
Dodge,wbds,119986,30741,1188.00,876.52
Dodge,wbds,119987,30847,1450.00,1069.82
Dodge,wbds,119988,30742,1188.00,876.52
Dodge,wbds,119990,30848,1450.00,1069.82
Dodge,wbds,120110,30865,1430.00,1055.07
Dodge,wbds,120112,30866,1430.00,1055.07
Dodge,wbds,120113,30761,1168.00,861.76
Dodge,wbds,120114,30867,1430.00,1055.07
Dodge,wbds,120115,30762,1282.00,945.86
Dodge,wbds,120117,30763,1282.00,945.86
Dodge,wbds,120609,28862,1134.00,1016.42
Dodge,wbds,120618,29482,1564.00,1153.92
Dodge,wbds,120619,29486,1704.00,1257.21
Dodge,wbds,120620,29498,1430.00,1055.07
Dodge,wbds,120621,29467,1422.00,1049.16
Dodge,wbds,120625,29422,1078.00,795.36
Dodge,wbds,120631,30744,1302.00,960.62
