Brand,Competitor,MRO id,Part Number,MRO Price,New Price,Date Scraped,Old Price,Previous Date,Percentage Change
Leeson,sqone,221478,100000.00,145.82,158.25,2013-11-18,154.03,2013-11-03,+02.74 %
Leeson,sqone,221479,100001.00,172.32,187.50,2013-11-18,182.50,2013-11-03,+02.74 %
Leeson,sqone,221480,100002.00,193.80,210.75,2013-11-18,205.13,2013-11-03,+02.74 %
Leeson,sqone,221481,100003.00,237.23,258.00,2013-11-18,251.12,2013-11-03,+02.74 %
Leeson,sqone,221482,100004.00,203.86,222.00,2013-11-18,216.08,2013-11-03,+02.74 %
Leeson,sqone,221483,100005.00,243.17,264.75,2013-11-18,257.69,2013-11-03,+02.74 %
Leeson,sqone,221484,100006.00,151.30,164.25,2013-11-18,159.87,2013-11-03,+02.74 %
Leeson,sqone,221485,100007.00,166.38,180.75,2013-11-18,175.93,2013-11-03,+02.74 %
Leeson,sqone,221486,100008.00,205.69,223.50,2013-11-18,217.54,2013-11-03,+02.74 %
Leeson,sqone,221487,100010.00,184.67,201.00,2013-11-18,195.64,2013-11-03,+02.74 %
Leeson,sqone,221488,100011.00,198.84,216.00,2013-11-18,210.24,2013-11-03,+02.74 %
Leeson,sqone,221489,100012.00,245.92,267.75,2013-11-18,260.61,2013-11-03,+02.74 %
Leeson,sqone,221490,100014.00,174.15,189.00,2013-11-18,183.96,2013-11-03,+02.74 %
Leeson,sqone,221491,100015.00,187.86,204.00,2013-11-18,198.56,2013-11-03,+02.74 %
Leeson,sqone,221492,100016.00,235.40,256.50,2013-11-18,249.66,2013-11-03,+02.74 %
Leeson,sqone,221493,100018.00,179.18,195.00,2013-11-18,189.80,2013-11-03,+02.74 %
Leeson,sqone,221494,100019.00,202.49,220.50,2013-11-18,214.62,2013-11-03,+02.74 %
Leeson,sqone,221495,100020.00,198.38,216.00,2013-11-18,210.24,2013-11-03,+02.74 %
Leeson,sqone,221496,100021.00,244.54,266.25,2013-11-18,259.15,2013-11-03,+02.74 %
Leeson,sqone,221497,100023.00,142.61,155.25,2013-11-18,151.11,2013-11-03,+02.74 %
Leeson,sqone,221498,100024.00,165.92,180.75,2013-11-18,175.93,2013-11-03,+02.74 %
Leeson,sqone,221499,100025.00,188.32,204.75,2013-11-18,199.29,2013-11-03,+02.74 %
Leeson,sqone,221500,100026.00,227.17,246.75,2013-11-18,240.17,2013-11-03,+02.74 %
Leeson,sqone,221501,100027.00,129.36,141.00,2013-11-18,137.24,2013-11-03,+02.74 %
Leeson,sqone,221502,100028.00,136.67,148.50,2013-11-18,144.54,2013-11-03,+02.74 %
Leeson,sqone,221503,100029.00,155.86,169.50,2013-11-18,164.98,2013-11-03,+02.74 %
Leeson,sqone,221504,100030.00,174.61,189.75,2013-11-18,184.69,2013-11-03,+02.74 %
Leeson,sqone,221505,100045.00,179.63,195.00,2013-11-18,189.80,2013-11-03,+02.74 %
Leeson,sqone,221506,100046.00,245.92,267.75,2013-11-18,260.61,2013-11-03,+02.74 %
Leeson,sqone,221507,100047.00,205.69,223.50,2013-11-18,217.54,2013-11-03,+02.74 %
Leeson,sqone,221508,100048.00,143.53,156.00,2013-11-18,151.84,2013-11-03,+02.74 %
Leeson,sqone,221509,100049.00,165.92,180.75,2013-11-18,175.93,2013-11-03,+02.74 %
Leeson,sqone,221510,100050.00,184.21,200.25,2013-11-18,194.91,2013-11-03,+02.74 %
Leeson,sqone,221511,100052.00,142.61,155.25,2013-11-18,151.11,2013-11-03,+02.74 %
Leeson,sqone,221512,100053.00,179.63,195.00,2013-11-18,189.80,2013-11-03,+02.74 %
Leeson,sqone,221513,100054.00,142.15,154.50,2013-11-18,150.38,2013-11-03,+02.74 %
Leeson,sqone,221514,100055.00,186.03,202.50,2013-11-18,197.10,2013-11-03,+02.74 %
Leeson,sqone,221515,100056.00,140.32,152.25,2013-11-18,148.19,2013-11-03,+02.74 %
Leeson,sqone,221516,100063.00,150.84,164.25,2013-11-18,159.87,2013-11-03,+02.74 %
Leeson,sqone,221517,100064.00,180.55,196.50,2013-11-18,191.26,2013-11-03,+02.74 %
Leeson,sqone,221518,100065.00,203.40,221.25,2013-11-18,215.35,2013-11-03,+02.74 %
Leeson,sqone,221519,100109.00,150.84,164.25,2013-11-18,159.87,2013-11-03,+02.74 %
Leeson,sqone,221520,100110.00,184.67,201.00,2013-11-18,195.64,2013-11-03,+02.74 %
Leeson,sqone,221521,100111.00,130.28,141.75,2013-11-18,137.97,2013-11-03,+02.74 %
Leeson,sqone,221522,100115.00,127.99,138.75,2013-11-18,135.05,2013-11-03,+02.74 %
Leeson,sqone,221523,100116.00,145.82,158.25,2013-11-18,154.03,2013-11-03,+02.74 %
Leeson,sqone,221524,100123.00,145.82,158.25,2013-11-18,154.03,2013-11-03,+02.74 %
Leeson,sqone,221525,100145.00,191.98,208.50,2013-11-18,202.94,2013-11-03,+02.74 %
Leeson,sqone,221526,100146.00,213.46,231.75,2013-11-18,225.57,2013-11-03,+02.74 %
Leeson,sqone,221527,100184.00,131.64,143.25,2013-11-18,139.43,2013-11-03,+02.74 %
Leeson,sqone,221528,100204.00,138.95,151.50,2013-11-18,147.46,2013-11-03,+02.74 %
Leeson,sqone,221529,100205.00,183.29,199.50,2013-11-18,194.18,2013-11-03,+02.74 %
Leeson,sqone,221530,100207.00,133.93,145.50,2013-11-18,141.62,2013-11-03,+02.74 %
Leeson,sqone,221531,100208.00,174.61,189.75,2013-11-18,184.69,2013-11-03,+02.74 %
Leeson,sqone,221532,100210.00,167.75,182.25,2013-11-18,177.39,2013-11-03,+02.74 %
Leeson,sqone,221533,100336.00,119.30,129.75,2013-11-18,126.29,2013-11-03,+02.74 %
Leeson,sqone,221534,100337.00,131.64,143.25,2013-11-18,139.43,2013-11-03,+02.74 %
Leeson,sqone,221535,100338.00,184.21,200.25,2013-11-18,194.91,2013-11-03,+02.74 %
Leeson,sqone,221536,100340.00,160.90,174.75,2013-11-18,170.09,2013-11-03,+02.74 %
Leeson,sqone,221537,100354.00,125.24,136.50,2013-11-18,132.86,2013-11-03,+02.74 %
Leeson,sqone,221538,100355.00,131.64,143.25,2013-11-18,139.43,2013-11-03,+02.74 %
Leeson,sqone,221539,100356.00,131.64,143.25,2013-11-18,139.43,2013-11-03,+02.74 %
Leeson,sqone,221540,100357.00,169.57,184.50,2013-11-18,179.58,2013-11-03,+02.74 %
Leeson,sqone,221541,100361.00,145.82,158.25,2013-11-18,154.03,2013-11-03,+02.74 %
Leeson,sqone,221542,100362.00,140.32,152.25,2013-11-18,148.19,2013-11-03,+02.74 %
Leeson,sqone,221543,100366.00,160.90,174.75,2013-11-18,170.09,2013-11-03,+02.74 %
Leeson,sqone,221544,100375.00,131.18,142.50,2013-11-18,138.70,2013-11-03,+02.74 %
Leeson,sqone,221545,100378.00,167.30,181.50,2013-11-18,176.66,2013-11-03,+02.74 %
Leeson,sqone,221546,100443.00,161.80,175.50,2013-11-18,170.82,2013-11-03,+02.74 %
Leeson,sqone,221547,100446.00,139.41,151.50,2013-11-18,147.46,2013-11-03,+02.74 %
Leeson,sqone,221548,100449.00,172.32,187.50,2013-11-18,182.50,2013-11-03,+02.74 %
Leeson,sqone,221549,100486.00,196.55,213.75,2013-11-18,208.05,2013-11-03,+02.74 %
Leeson,sqone,221550,100588.00,173.24,188.25,2013-11-18,183.23,2013-11-03,+02.74 %
Leeson,sqone,221551,100599.00,163.18,177.75,2013-11-18,173.01,2013-11-03,+02.74 %
Leeson,sqone,221552,100600.00,155.41,168.75,2013-11-18,164.25,2013-11-03,+02.74 %
Leeson,sqone,221553,100601.00,184.67,201.00,2013-11-18,195.64,2013-11-03,+02.74 %
Leeson,sqone,221554,100602.00,205.23,223.50,2013-11-18,217.54,2013-11-03,+02.74 %
Leeson,sqone,221555,100603.00,182.84,198.75,2013-11-18,193.45,2013-11-03,+02.74 %
Leeson,sqone,221556,100604.00,260.54,283.50,2013-11-18,275.94,2013-11-03,+02.74 %
Leeson,sqone,221557,100699.00,179.18,195.00,2013-11-18,189.80,2013-11-03,+02.74 %
Leeson,sqone,221558,100700.00,207.52,225.75,2013-11-18,219.73,2013-11-03,+02.74 %
Leeson,sqone,221559,100701.00,219.86,239.25,2013-11-18,232.87,2013-11-03,+02.74 %
Leeson,sqone,221560,100704.00,231.75,252.00,2013-11-18,245.28,2013-11-03,+02.74 %
Leeson,sqone,221561,100722.00,197.92,215.25,2013-11-18,209.51,2013-11-03,+02.74 %
