Brand,Competitor,MRO id,Part Number,Our Price,Their Price
Leeson,temco,221496,100021.00,244.54,165.00
Leeson,temco,709466,811571.00,12372.00,8443.60
Leeson,temco,726045,132199.00,1081.01,869.55
Leeson,temco,726049,132203.00,916.01,726.75
Leeson,temco,726157,171648.60,371.16,269.33
Leeson,temco,1151389,G191226.00,850.00,517.75
Leeson,sqone,221437,096014.00,340.99,340.86
Leeson,sqone,221438,096015.00,340.99,340.86
Leeson,sqone,221439,096016.00,340.99,340.86
Leeson,sqone,221763,107014.00,479.03,478.86
Leeson,sqone,221764,107015.00,479.03,478.86
Leeson,sqone,221765,107016.00,479.03,478.86
Leeson,sqone,221766,107017.00,479.03,478.86
Leeson,sqone,221769,107027.00,466.69,466.44
Leeson,sqone,221770,107028.00,466.69,466.44
Leeson,sqone,221771,107029.00,466.69,466.44
Leeson,sqone,221772,107030.00,466.69,466.44
Leeson,sqone,221773,107031.00,466.69,466.44
Leeson,sqone,221780,108014.00,322.25,322.23
Leeson,sqone,221781,108015.00,322.25,322.23
Leeson,sqone,221784,108018.00,392.64,392.61
Leeson,sqone,221785,108019.00,392.64,392.61
Leeson,sqone,221786,108020.00,373.44,373.29
Leeson,sqone,221787,108021.00,373.44,373.29
Leeson,sqone,221790,108045.00,278.83,278.76
Leeson,sqone,221793,108048.00,351.95,351.90
Leeson,sqone,221803,108230.00,585.99,585.81
Leeson,sqone,221804,108231.00,585.99,585.81
Leeson,sqone,221809,108322.00,419.61,419.52
Leeson,sqone,221816,108423.00,334.14,333.96
Leeson,sqone,221817,108424.00,353.33,353.28
Leeson,sqone,221818,108455.00,372.07,371.91
Leeson,sqone,221819,108456.00,318.14,318.09
Leeson,sqone,221820,108457.00,353.33,353.28
Leeson,sqone,221830,108707.00,565.87,565.80
Leeson,sqone,221831,108708.00,565.87,565.80
Leeson,sqone,221838,108731.00,565.87,565.80
Leeson,sqone,221839,108732.00,565.87,565.80
Leeson,sqone,221876,109106.00,705.29,705.18
Leeson,sqone,222573,118007.00,830.08,830.07
Leeson,sqone,222575,118009.00,830.08,830.07
Leeson,sqone,226949,LM26081,399.03,378.75
Leeson,sqone,226950,LM26097,373.44,354.75
Leeson,sqone,227317,M1110025.00,151.30,151.11
Leeson,sqone,227331,M1115028.00,279.74,279.45
Leeson,sqone,227332,M1115029.00,279.74,279.45
Leeson,sqone,227339,M1120042.00,167.30,166.98
Leeson,sqone,227340,M1120043.00,167.30,166.98
Leeson,sqone,227343,M1120046.00,181.01,180.78
Leeson,sqone,227351,M1120184.00,218.94,218.73
Leeson,sqone,227357,M1125005.00,218.94,218.73
Leeson,sqone,227358,M1125006.00,218.94,218.73
Leeson,sqone,227359,M1125033.00,218.94,218.73
Leeson,sqone,227360,M1125034.00,218.94,218.73
Leeson,sqone,227365,M1125039.00,286.60,286.35
Leeson,sqone,227366,M1125040.00,286.60,286.35
Leeson,sqone,227367,M1125041.00,286.60,286.35
Leeson,sqone,227375,M1125071.00,286.60,286.35
Leeson,sqone,227376,M1125072.00,286.60,286.35
Leeson,sqone,227377,M1125073.00,286.60,286.35
Leeson,sqone,227378,M1125074.00,286.60,286.35
Leeson,sqone,227385,M1125093.00,286.60,286.35
Leeson,sqone,227386,M1125094.00,279.74,279.45
Leeson,sqone,227390,M1125130.00,212.55,212.52
Leeson,sqone,227391,M1125131.00,212.55,212.52
Leeson,sqone,227392,M1125132.00,205.69,205.62
Leeson,sqone,227393,M1125133.00,205.69,205.62
Leeson,sqone,227394,M1125213.00,234.94,234.60
Leeson,sqone,227395,M1125214.00,249.12,249.09
Leeson,sqone,227396,M1125215.00,249.12,249.09
Leeson,sqone,227400,M1125219.00,293.45,293.25
Leeson,sqone,227401,M1125220.00,293.45,293.25
Leeson,sqone,227419,M1125268.00,365.22,365.01
Leeson,sqone,227426,M1125275.00,365.22,365.01
Leeson,sqone,227427,M1125276.00,365.22,365.01
Leeson,sqone,227433,M1125282.00,282.94,282.90
Leeson,sqone,227435,M1125284.00,234.94,234.60
Leeson,sqone,227436,M1125285.00,234.94,234.60
Leeson,sqone,227437,M1130053.00,171.86,171.81
Leeson,sqone,227438,M1130054.00,175.52,175.26
Leeson,sqone,227440,M1130118.00,171.86,171.81
Leeson,sqone,227441,M1130119.00,175.52,175.26
Leeson,sqone,227445,M1130138.00,228.09,227.70
Leeson,sqone,227453,M1130148.00,228.09,227.70
Leeson,sqone,227463,M1135038.00,274.25,273.93
Leeson,sqone,227464,M1135039.00,274.25,273.93
Leeson,sqone,227465,M1135040.00,274.25,273.93
Leeson,sqone,227466,M1135041.00,274.25,273.93
Leeson,sqone,227477,M1135058.00,274.25,273.93
Leeson,sqone,227478,M1135059.00,274.25,273.93
Leeson,sqone,227479,M1135060.00,274.25,273.93
Leeson,sqone,227480,M1135061.00,274.25,273.93
Leeson,sqone,227482,M1135063.00,295.46,295.32
Leeson,sqone,227486,M1135069.00,274.25,273.93
Leeson,sqone,227487,M1135106.00,307.16,307.05
Leeson,sqone,227488,M1135107.00,307.16,307.05
Leeson,sqone,227499,M1135139.00,307.16,307.05
Leeson,sqone,227500,M1135140.00,307.16,307.05
Leeson,sqone,227511,M1135243.00,313.56,313.26
Leeson,sqone,227515,M1135249.00,279.74,279.45
Leeson,sqone,227516,M1135250.00,279.74,279.45
Leeson,sqone,227526,M1135291.00,280.20,280.14
Leeson,sqone,227527,M1135292.00,280.20,280.14
Leeson,sqone,227534,M1140172.00,168.67,168.36
Leeson,sqone,227537,M1145024.00,300.31,300.15
Leeson,sqone,227538,M1145025.00,300.31,300.15
Leeson,sqone,227539,M1145026.00,300.31,300.15
Leeson,sqone,227540,M1145027.00,300.31,300.15
Leeson,sqone,227541,M1145028.00,300.31,300.15
Leeson,sqone,227543,M1145030.00,358.82,358.80
Leeson,sqone,227544,M1145031.00,358.82,358.80
Leeson,sqone,227545,M1145032.00,358.82,358.80
Leeson,sqone,709466,811571.00,12372.00,8265.75
Leeson,sqone,726533,5KCP39DGS375S,172.00,73.83
Leeson,sqone,726534,5KCP39DGU716S,212.00,95.63
Leeson,sqone,726535,5KCP39DGY797S,182.00,82.49
Leeson,sqone,726536,5KCP39EGAA09S,204.00,91.98
Leeson,sqone,726537,5KCP39EGAA10S,209.00,94.90
Leeson,sqone,726538,5KCP39EGP697S,187.00,84.68
Leeson,sqone,726539,5KCP39FGL114S,221.00,100.01
Leeson,sqone,726540,5KCP39FGL782S,296.00,134.32
Leeson,sqone,726541,5KCP39FGM421S,199.00,89.79
Leeson,sqone,726542,5KCP39FGM433S,199.00,89.79
Leeson,sqone,726543,5KCP39FGM599S,182.00,82.49
Leeson,sqone,726544,5KCP39GGU714S,242.00,109.50
Leeson,sqone,726545,5KCP39GGY796S,191.00,86.14
Leeson,sqone,726546,5KCP39HGAA06AS,206.00,96.00
Leeson,sqone,726547,5KCP39HGAA11AT,212.00,98.25
Leeson,sqone,726548,5KCP39HGAA37T,212.00,98.25
Leeson,sqone,726549,5KCP39HGP698S,199.00,84.87
Leeson,sqone,726550,5KCP39HGU722S,316.00,143.08
Leeson,sqone,726552,5KCP39JGN654T,216.00,100.50
Leeson,sqone,726553,5KCP39LGL786S,234.00,108.75
Leeson,sqone,726554,5KCP39LGS407S,195.00,90.75
Leeson,sqone,726555,5KCP39LGU715S,254.00,117.75
Leeson,sqone,726556,5KCP39LGY801S,204.00,94.50
Leeson,sqone,726557,5KCP39MGAA08BS,254.00,117.75
Leeson,sqone,726558,5KCP39MGK209S,221.00,102.75
Leeson,sqone,726559,5KCP39MGL796S,321.00,149.25
Leeson,sqone,726561,5KCP39NGAA44S,293.00,136.50
Leeson,sqone,726562,5KCP39NGN656S,261.00,121.50
Leeson,sqone,726563,5KCP39NGU724S,341.00,158.25
Leeson,sqone,726564,5KCP39PFM210S,269.00,125.25
Leeson,sqone,726565,5KCP39PGL795S,363.00,168.75
Leeson,sqone,726566,5KCP39PGL811S,263.00,122.25
Leeson,sqone,726567,5KCP39PGN091S,284.00,132.00
Leeson,sqone,726568,5KCP39PGN092S,289.00,134.25
Leeson,sqone,726569,5KCP39PGN655S,256.00,119.25
Leeson,sqone,726570,5KCP39PGN658S,299.00,138.75
Leeson,sqone,726571,5KCP39PGS618S,214.00,99.75
Leeson,sqone,726572,5KCP39RGU718S,276.00,128.25
Leeson,sqone,726573,5KCP39RGU723S,376.00,174.75
Leeson,sqone,726574,5KCP39RGY799S,227.00,105.75
Leeson,sqone,726575,5KCP39SGL794S,430.00,200.25
Leeson,sqone,726576,5KCP39SGL938S,336.00,156.00
Leeson,sqone,726577,5KCP39SGT039S,274.00,127.50
Leeson,sqone,726578,5KCP39SGU717S,336.00,156.00
Leeson,sqone,726579,5KCP39SGU725S,448.00,208.50
Leeson,sqone,726580,5KCP39SGY805S,289.00,134.25
Leeson,sqone,727465,LM32666,526.56,526.47
Leeson,sqone,727491,LM32727,267.85,267.72
Leeson,sqone,727510,LM32746,980.92,895.86
Leeson,sqone,727528,LM32764,292.08,291.87
Leeson,sqone,727534,LM32770,313.56,313.26
Leeson,sqone,727541,LM32777,771.56,771.42
Leeson,sqone,727560,LM32796,307.16,307.05
Leeson,sqone,727561,LM32798,610.67,610.65
Leeson,sqone,727572,LM32809,612.05,612.03
Leeson,sqone,728019,M1145140.00,345.10,345.00
Leeson,sqone,1151389,G191226.00,850.00,493.48
Leeson,globalindustrial,221490,100014.00,174.15,13.50
Leeson,globalindustrial,221511,100052.00,142.61,10.38
Leeson,globalindustrial,221551,100599.00,163.18,20.50
Leeson,globalindustrial,221556,100604.00,260.54,197.95
Leeson,globalindustrial,221557,100699.00,179.18,168.95
