Brand,Competitor,MRO id,Part Number,MRO Price,New Price,Date Scraped,Old Price,Previous Date,Percentage Change
Redlion,digikey,287110,PAXI0000,218.56,0.56,2014-01-17,0.56,2014-01-10,+00.00 %
Redlion,digikey,286950,PAXTM100,154.38,4.10,2014-01-17,4.10,2014-01-10,+00.00 %
Redlion,plccenter,286249,AIMI0202,190.13,226.00,2014-01-10,219.50,2013-12-20,+02.96 %
Redlion,plccenter,286356,C48CB001,160.88,191.50,2014-01-10,186.00,2013-12-20,+02.96 %
Redlion,plccenter,286357,C48CB003,145.44,173.00,2014-01-10,168.00,2013-12-20,+02.98 %
Redlion,plccenter,286358,C48CB004,162.50,193.50,2014-01-10,187.50,2013-12-20,+03.20 %
Redlion,plccenter,286359,C48CB005,184.44,219.50,2014-01-10,213.00,2013-12-20,+03.05 %
Redlion,plccenter,286360,C48CB008,186.06,221.50,2014-01-10,215.00,2013-12-20,+03.02 %
Redlion,plccenter,286361,C48CB009,186.06,221.50,2014-01-10,215.00,2013-12-20,+03.02 %
Redlion,plccenter,286362,C48CB011,170.63,203.00,2014-01-10,197.00,2013-12-20,+03.05 %
Redlion,plccenter,286363,C48CB014,154.38,183.50,2014-01-10,178.50,2013-12-20,+02.80 %
Redlion,plccenter,286364,C48CB100,170.63,203.00,2014-01-10,197.00,2013-12-20,+03.05 %
Redlion,plccenter,286365,C48CB101,170.63,203.00,2014-01-10,197.00,2013-12-20,+03.05 %
Redlion,plccenter,286366,C48CB103,172.25,205.00,2014-01-10,199.00,2013-12-20,+03.02 %
Redlion,plccenter,286367,C48CB104,172.25,205.00,2014-01-10,199.00,2013-12-20,+03.02 %
Redlion,plccenter,286368,C48CB105,194.19,231.00,2014-01-10,224.50,2013-12-20,+02.90 %
Redlion,plccenter,286369,C48CB108,195.81,233.00,2014-01-10,226.00,2013-12-20,+03.10 %
Redlion,plccenter,286370,C48CB109,195.81,233.00,2014-01-10,226.00,2013-12-20,+03.10 %
Redlion,plccenter,286371,C48CB110,178.75,212.50,2014-01-10,206.50,2013-12-20,+02.91 %
Redlion,plccenter,286372,C48CB111,178.75,212.50,2014-01-10,206.50,2013-12-20,+02.91 %
Redlion,plccenter,286373,C48CB114,180.38,214.50,2014-01-10,208.50,2013-12-20,+02.88 %
Redlion,plccenter,286374,C48CB119,204.75,243.50,2014-01-10,236.50,2013-12-20,+02.96 %
Redlion,plccenter,286376,C48CD005,176.31,210.00,2014-01-10,203.50,2013-12-20,+03.19 %
Redlion,plccenter,286377,C48CD007,177.94,211.50,2014-01-10,205.50,2013-12-20,+02.92 %
Redlion,plccenter,286378,C48CD012,153.56,182.50,2014-01-10,177.50,2013-12-20,+02.82 %
Redlion,plccenter,286379,C48CD015,184.44,219.50,2014-01-10,213.00,2013-12-20,+03.05 %
Redlion,plccenter,286380,C48CD017,186.06,221.50,2014-01-10,215.00,2013-12-20,+03.02 %
Redlion,plccenter,286381,C48CD100,160.88,191.50,2014-01-10,186.00,2013-12-20,+02.96 %
Redlion,plccenter,286382,C48CD101,160.88,191.50,2014-01-10,186.00,2013-12-20,+02.96 %
Redlion,plccenter,286384,C48CD105,184.44,219.50,2014-01-10,213.00,2013-12-20,+03.05 %
Redlion,plccenter,286385,C48CD106,184.44,219.50,2014-01-10,213.00,2013-12-20,+03.05 %
Redlion,plccenter,286386,C48CD107,186.06,221.50,2014-01-10,215.00,2013-12-20,+03.02 %
Redlion,plccenter,286387,C48CD110,170.63,203.00,2014-01-10,197.00,2013-12-20,+03.05 %
Redlion,plccenter,286388,C48CD111,170.63,203.00,2014-01-10,197.00,2013-12-20,+03.05 %
Redlion,plccenter,286389,C48CD112,172.25,205.00,2014-01-10,199.00,2013-12-20,+03.02 %
Redlion,plccenter,286390,C48CD115,194.19,231.00,2014-01-10,224.50,2013-12-20,+02.90 %
Redlion,plccenter,286391,C48CD116,194.19,231.00,2014-01-10,224.50,2013-12-20,+02.90 %
Redlion,plccenter,286392,C48CD117,195.81,233.00,2014-01-10,226.00,2013-12-20,+03.10 %
Redlion,plccenter,286393,C48CP001,160.88,191.50,2014-01-10,186.00,2013-12-20,+02.96 %
Redlion,plccenter,286394,C48CP005,184.44,219.50,2014-01-10,213.00,2013-12-20,+03.05 %
Redlion,plccenter,286395,C48CP011,170.63,203.00,2014-01-10,197.00,2013-12-20,+03.05 %
