Brand,Competitor,MRO id,Part Number,Our Price,Their Price
Redlion,walkeremd,287034,CSPID1R0,232.00,220.40
Redlion,walkeremd,287035,CSPID1S0,232.00,220.40
Redlion,walkeremd,287074,CSDIO14R,252.00,239.40
Redlion,walkeremd,287075,CSDIO14S,252.00,239.40
Redlion,walkeremd,287076,CSPID1RA,252.00,239.40
Redlion,walkeremd,287077,CSPID1RM,252.00,239.40
Redlion,walkeremd,287078,CSPID1SA,252.00,239.40
Redlion,walkeremd,287079,CSPID1SM,252.00,239.40
Redlion,walkeremd,287080,CSPID1TA,252.00,239.40
Redlion,walkeremd,287165,CSMSTRV2,308.00,292.60
Redlion,walkeremd,287214,CSSG10RA,326.00,309.70
Redlion,walkeremd,287215,CSSG10SA,326.00,309.70
Redlion,walkeremd,287228,CSPID2R0,347.00,329.65
Redlion,walkeremd,287229,CSPID2S0,347.00,329.65
Redlion,walkeremd,287230,CSPID2T0,347.00,329.65
Redlion,walkeremd,287265,CSPID2RM,378.00,359.10
Redlion,walkeremd,287266,CSPID2SM,378.00,359.10
Redlion,walkeremd,287267,CSPID2TM,378.00,359.10
Redlion,walkeremd,287294,CSRTD600,410.00,389.50
Redlion,walkeremd,287303,CSSG11RA,408.00,387.60
Redlion,walkeremd,287304,CSSG11SA,408.00,387.60
Redlion,walkeremd,287387,CSMSTRSX,930.00,883.50
Redlion,walkeremd,287393,CSINI800,547.00,519.65
Redlion,walkeremd,287394,CSINV800,547.00,519.65
Redlion,walkeremd,287395,CSTC8000,547.00,519.65
Redlion,walkeremd,287410,CSINI8L0,578.00,549.10
Redlion,walkeremd,287411,CSINV8L0,578.00,549.10
Redlion,walkeremd,287418,G303M000,599.00,569.05
Redlion,walkeremd,287424,G303S000,649.00,616.55
Redlion,walkeremd,287426,CSMSTRGT,1240.00,1178.00
Redlion,walkeremd,691932,G310S210,2651.00,2518.45
Redlion,walkeremd,695052,G310S230,3161.00,3002.95
Redlion,walkeremd,736423,G315C210,3569.00,3390.55
Redlion,walkeremd,736425,G310C230,2957.00,2809.15
Redlion,walkeremd,738529,G310R210,2753.00,2615.35
Redlion,walkeremd,864553,G306M000,799.00,759.05
Redlion,walkeremd,864555,G306MS00,849.00,806.55
Redlion,walkeremd,864556,G306A000,1019.00,968.05
Redlion,walkeremd,864557,G308C100,1529.00,1452.55
Redlion,walkeremd,864558,G308A210,2039.00,1937.05
Redlion,walkeremd,864559,G310C210,2447.00,2324.65
Redlion,walkeremd,864560,G308A230,2549.00,2421.55
Redlion,walkeremd,864561,G310R230,3263.00,3099.85
Redlion,walkeremd,864562,G315C230,4079.00,3875.05
Redlion,walkeremd,864843,CSOUT400,286.00,271.70
Redlion,walkeremd,864844,CSMSTRLE,520.00,494.00
Redlion,walkeremd,864879,PAXLCRU0,164.13,163.40
Redlion,walkeremd,864888,PFM1608A,799.00,759.05
Redlion,walkeremd,864889,PFM1608B,799.00,759.05
